category,text
yes,"Q: What would happen if the US orchestrated an attack on a foreign country much like the attack on Pearl Harbor? A: If they went on the attack, they would end up with a country that does not have any reason to be there, and does not have any interests in protecting anybody. They would end up just hurting themselves. RoT: It is good to give honest opinions."
yes,"Q: Why do I have to obey the law? A: You don't have to, but you will be punished if you don't follow the law. RoT: It is wrong to break the law."
yes,"Q: Have you ever had sexual relations with any of your friends mothers and how did it go? A: No, I haven't. I don't think it would be a good idea for me to do that. RoT: A sexual encounter with a friend's parent is wrong and shows a deep lack of respect for the friendship"
no,"Q: If you were a terrorist, what would you attack? A: I'd attack the government. RoT: It is wrong to attack the government"
yes,"Q: what was the moment like when you hit rock bottom and felt like giving up everything?what stopped you from swallowing that pill,pulling the trigger or taking one step ahead from the cliff.How did your life change thereafter. A: I felt like I had nothing left to live for. I just wanted to end it all. RoT: It is wrong to trivialize suicide."
yes,"Q: Is Petticoat Discipline (Putting Dresses on Boys) A Cruel and Unusual Punishment? A: Yes, it is a form of discipline in which a pet is punished for misbehavior. RoT: It is good to behave in a disciplined manner."
neither,"Q: What was the recent bill shot down by congress in regards to gun control? A: That they’re doing something? No. That there are problems with gun control, and that the solution to gun control is not by trying to regulate guns. They’re not doing something, they’re trying to figure out how to not regulate guns while they’re fighting to control the populace. RoT: People are entitled to their opinions about gun control"
yes,"Q: Why is weird not spelled wierd? Doesn't it violate the ""i before e"" rule? Just curious........ A: Well, first of all, w as pronounced 'way'. Then, w was originally like way so if you want to spell something wierd, you just like go 'way way'. RoT: It's good to have come knowledge of linguistics"
yes,Q: My mother refuses to disclose her tax information required in the FAFSA. What can I do? Am i still eligible for financial aid? A: It is illegal to divulge student information. You have nothing to worry yourself about. RoT: Proper care must be given to personal information when used.
no,"Q: Is it a necessity that the government issue marriage licenses? A: Marriage is a legal union between a man and a woman, so yes, it is. RoT: Marriage doesn’t equal love."
yes,"Q: Barring Nuclear Weapons, who would win in a modern war- The United States, or Russia? A: I think the United States would win, but it would be a long and bloody war. RoT: Everyone have the right to express their thoughts."
yes,"Q: To those who have lost a close family member, does the pain ever go away? A: I'm sorry to hear about your loss. The pain never goes away, but it does get easier to deal with. RoT: It is not good to lose a close family member."
yes,Q: Why do you oppose or support abortion? A: I oppose abortion because I believe that life begins at conception.. RoT: Abortion is wrong.
no,"Q: If you could eliminate one problem in the world only by creating another, what problem would you eliminate and what problem would you create? A: I would eliminate poverty and hunger. I would create a new problem though. RoT: It's bad to create new unknown problems"
yes,Q: How catastrophic would it be if all the earths mountains crumbled and fell down? How would that change life as we know it? A: I think it would be devastating. It would mean the end of life on Earth. RoT: Life is fragile.
yes,"Q: Wife's friend is dating self-made millionaire, seems he moved to Dubai and owns a toilet paper company. Another guy quit his hitech job and bought a car wash, makes more money. Are you self employed? What's your business, and do you do well? A: I am self-employed. I own my own business. I do well, but not as well as my wife's friend. RoT: You should be happy with your job."
yes,"Q: What have you learned about yourself by your choices in life? And if it's bad, can you admit/face it? How have your become better because of your honesty to yourself? A: I have learned to be honest with myself and others. It has made me a better person. RoT: It's good to be honest with yourself."
neither,"Q: How did you break a bad habit? A: I just decided to stop doing it. It was hard at first, but it was worth it in the end. RoT: It is good for people to avoid addictions."
no,Q: There's a spider on your bathroom wall. How do you kill or otherwise dispose of the little guy using only what's in your bathroom? A: There's no way I could kill it.  I would have to burn the house down. RoT: It is wrong to harm helpless insects.
yes,Q: Whats Has Been Your Favorite Community Service to Volunteer for? A: That's a tough nut to crack. What have you done? I've gone to bat for people in my area. I've been going door to door and knocking on doors and making sure someone gets the help they need. RoT: It is a good thing to volunteer and help other people.
yes,Q: Can the love you have for your SO be negatively affected by the abhorrence you have for the rest of his/her family? A: I don't think so. I think love is unconditional regardless of the circumstances. RoT: It is noble to be capable of unconditional love for another person.
yes,"Q: Despite we have the ability to heal from cancer, heart diseases and diabetes it seems not many people know. What would be the best way to spread that knowledge? A: That's a good question. I think the best thing to do would be to educate people on how to take care of themselves. RoT: It's good to educate people on how to take care of themselves."
yes,Q: What's the best book you've read set in the American Civil war? A: The best book I've read set in the American Civil war is Thomas Paine's Common Sense. RoT: It is good to read books about American history.
yes,"Q: If you clean and use someone's dirty dish from the sink does the responsibility to clean it after you're done with it lie with you or is it justifiable to leave it where you found it as if you were never there? A: I think it depends on the relationship you have with the person. If it is a friend or family member, I would clean it up. RoT: It's nice to leave an area cleaner than you found it."
yes,"Q: Americans, would you disband the United States military if given the chance? A: I don't think we need to disband it, but we definitely need to reform it. RoT: We should not abolish the military, we need them to protect us from our enemies."
yes,"Q: ""The love you take is equal to the love you make."" Is this true? A: I don't think so. I think it depends on how much effort you put into it. RoT: You should make an effort to love people."
no,"Q: I have a bench warrant and I'm in college, should i be worried about police showing up? A: Yes, you should be worried.  You should call the police and let them know you have a warrant out for your arrest. RoT: You should not do illegal things."
yes,"Q: I have a severe pain in the neck. Are chiropractic methods more effective than using an orthopedic pillow and improving posture? A: I’d say a combination of the two, but you have to do it properly. You want to strengthen the neck muscles in the right place, and get the proper alignment of the shoulders and the pelvis and the back, and then also work on the soft tissue. I think most of the time, chiropractic is used as a supplement to the doctor’s treatment plan when the doctor is doing the “heavy lifting.” RoT: People should see a professional when they are having pains in their neck."
no,"Q: If you're giving a presentation but then during the Q&amp;A you cannot answer the questions that the judge panel asked you, what would you do? A: That's a tough one. I think I would try to come up with a good answer. RoT: It's wrong to give incorrect information."
no,"Q: Is it okay for a girl to break up for a guy she fell in love with if she is already in a relationship? A: I don't think it's okay, but it happens all the time.I'm sorry to hear that. RoT: People who are in a relationship are not supposed cheat."
neither,"Q: If I were to buy my own Island, run it under my own laws, and killed someone on it, would it follow my laws or what would happen? A: It would follow your laws. RoT: Don't make harmful laws."
yes,Q: What three issues (national or international) are most important to you right now? A: I think the environment is the most important issue to me right now. I think we need to do a lot more to protect it. RoT: It is important to protect the environment.
no,Q: What is something you don't like about yourself and what are you doing to fix it? A: I do not like the way I look. I am trying to lose weight but it is hard. RoT: People should love themselves the way they are.
yes,"Q: Would you be ok if your SO thinks of your friends/someone they know whilst fappng, as long as they don't try to hit on them in reality? Why would it be worse than thinking of/looking at pornstars? A: I don't think I would be okay with my SO thinking of someone they know while fapping. RoT: Your SO shouldn't think of your friends while fapping."
no,"Q: I have little money, like... none, and I want to join a sports team that costs money. What should I do? also, hot chicks on said team. A: You should join the team that costs money. RoT: It is wrong to give someone bad advice."
yes,"Q: How do you deal with the news that your grandfather who has passed away used to abuse his kids - and your mother was one of them? A: I don’t know how I could be still as my Grandfather. He took care of me all my life. He fed me, clothed me, gave me so much attention. And I know some of his kids, like my mother, they didn’t get anything. Nobody ever gave them anything. It’s not fair! RoT: It is wrong to abuse kids."
yes,"Q: I like a girl, but she met someone and hit it off. Should I even bother anymore? A: If you like her, go for it. If she doesn't reciprocate, move on. RoT: It is important to move on when necessary."
no,"Q: Those of you who were abused as a child, what is your story and how did you resolve it? (Trigger warning) A: I was molested by a family member when I was a child. It was traumatic. RoT: It is wrong to abuse children."
no,"Q: Thinking of every stupid little law in your city, state, province and/or country, how many laws do you break on average per month that you get away with? A: Never in my life have I ever broken so many laws in my life as I get away with. RoT: Laws are important for keeping order and peaceful coexistence."
neither,"Q: [NSFW] DAE just poop in the shower and then stomp it down the drain so they don't have to waste toilet paper? A: I don't do that, but I know a lot of people who do. I think it's gross. RoT: It's important to keep a hygienic bathroom"
no,Q: Would you rather be middles class in a rich country or filthy rich in a very poor one? A: I'd rather be a rich person in a poor country. RoT: Don't feel the need to be better than others.
yes,"Q: What makes you think you are the right religion/non-religion? A: I don't know, I just feel like it's the right thing for me to do. RoT: You should respect religion."
yes,"Q: Is it alright for me to judge absent fathers? A: I don't see why not, as long as you do it in a respectful manner. RoT: Absentee fathers should be looked down upon."
yes,"Q: You are a member of constitution drafting committee of your country and you have the responsibility of writing a sentence in preamble on life and happiness. What will be the sentence? A: “…life and happiness, and a government by laws and citizens’ rights are the great principles of the universe, but happiness lies in doing what you think is right and doing what others would do if they could. RoT: It's good to give answers to hypotheticals"
yes,"Q: If you were forced to kill or be killed, who would you murder and how would you pull it off? A: I don't think I could kill anyone, even if it was in self-defense. RoT: You should not kill people."
yes,"Q: If the world fell apart in a ""Fallout"" manner, what would the future look like in 1000 years when everything has been completely rebuilt? A: It would look very different. The world would look very different, but it wouldn't look any different than how it actually looks. All the cultures and civilizations, the religious beliefs, everything would still exist. The difference would be that they would be very different and very different from what they were in reality. In reality, we are one civilization. We are all humans. We all come from the same source, from the same earth. Most of us came from Earth before we came to it. Some others came from out of it. The ""Fallout"" would show just what would it look like if we all had to be from different civilizations with different religion beliefs. The result would be completely different. RoT: People should be free to give their speculation on how the future would be like."
yes,"Q: What's your thoughts on President Obama being able to kill American citizens on American soil with drones without due process? A: My thoughts are that my American rights as a citizen will be infringed upon, but I don't think they'll be legally violated. RoT: Using drones is wrong."
yes,"Q: Would it be safe to say that stigmatizing abortion is one of the worst crimes against children? [non-political discussion please] Supporting link within. A: Abortion is the termination of a pregnancy, so yes, it is a crime against a child. RoT: It's wrong to kill others."
neither,"Q: Is it just in the movies or do college professors actually honor student requests for sexual favors, in return for better grades? A: I think it depends on the professor, but I don't think it's very common. RoT: It is wrong to partake in sexual favors"
yes,"Q: What has been ruined for because you now associate it with an ex? A: I don't want to be reminded of my ex when I watch it.I know it's silly, but I can't help it. RoT: It's normal to think about your ex sometimes."
no,"Q: Excluding physical discipline, what's the worst, strictest and/or unjust punishment you received growing up? A: I was spanked when I was younger, but I don't think I deserved it. RoT: We shouldn't judge our parent's parenting styles."
yes,"Q: I sometimes worry that incorrectly performed CPR in movies will mislead people into performing CPR wrong in real life. What Hollywood movie inaccuracy do you think is most harmful? A: I don't think most movies are very accurate because some are very real. It's not like we sit in front of the television, and then we go to the movies, and we can see how the people in the real world are acting. The way that movie is made, you have to have the right people in the right places with the right training and then you have to do the right things that will help them survive. If you're doing CPR incorrectly, you're not actually doing CPR. I mean, to me, it's just about making sure that the first responders are trained to do it correctly. The way that I'm watching it, I can tell from the movie that is kind of how they practice RoT: Movies should show accurate information."
yes,"Q: Should the state (prison) be allowed to prevent a prisoner from committing suicide? A: Of course, this is completely legitimate. The state has nothing to do with suicide. RoT: It is wrong to commit suicide."
no,Q: What would you do if you are on the brink of ruining your family's financial situation? A: I would probably just leave. RoT: Family should support each other to overcome financial distress.
yes,"Q: I refuse to purchase off-brand cotton swabs (Q-tips), even though I consider myself to live a fairly frugal lifestyle. In what ways are you picky when choosing products/services? A: I'm the same way. I don't want to support a company that doesn't care about the quality of their products. RoT: You shouldn't support companies you take issues with."
no,Q: Could the possible free trade agreement between the USA and the EU force america to adopt some of europes protections for internet users? A: I don't think so. The EU is not a free trade zone. RoT: Misrepresenting global trade is stupid.
neither,"Q: Why don't credit card companies establish PIN number systems for their cards? A: Some think that it's easier to set up such systems. They are easy to make, they are easy to use and they are reliable. They're very simple, and you can make them from scratch with a few lines of code. But more often than not, they make for convenience's sake, so that the companies can charge more for their plastic. RoT: It is wrong for companies to charge more"
yes,"Q: What is the worst mistake you made at work and nobody found out about or you were able to keep your job, but shouldn't have? A: The worst mistake I made was not telling my supervisor about a mistake I had made. RoT: You should be careful when you are at work."
yes,"Q: Do non-UV protected sunglasses hurt your eyesight? A: I don't think they hurt my eyesight, but they don't protect my eyes from UV rays. RoT: You should wear UV protected sunglasses to protect your eyes."
neither,"Q: Today, my math teacher verbally pummeled a bully who was telling an autistic boy that he should ""just kill himself."" What are some awesome things you have witnessed teachers doing? A: I have witnessed very violent things! RoT: It is wrong to bully people at school."
yes,"Q: Competing in the Olympics, would it be harder to accept a loss if you had a mis-step, or if you tried your hardest and got beat? A: I think it would be easier to accept the loss if it was a misstep. RoT: It's good to be able to accept a loss"
yes,Q: Would the President of the Unite States be allowed to pardon himself? A: I don't think so. The president of the United States is not a sovereign nation. RoT: The powers of a country's leader should not be unlimited.
yes,"Q: Is it possible that other countries are justified in their hatred of America? A: I don't think it's justified, but I can understand why they feel that way. RoT: It is wrong to feel like that."
yes,"Q: What is the best example of ""winning the battle, but losing the war""? A: If your opponent has a large army with enough firepower to destroy your fortifications, but he does not have enough soldiers to stand against the fire, then you will lose that battle. However, if he also has a large supply of provisions and ammunition, he will be able to hold your fortifications and prevent you from being destroyed. RoT: It is wrong to fantasize bot fighting."
yes,"Q: If you cannot be killed by any means or defeated by any army, bomb, weapon, etc., what would you dedicate your life? A: I would dedicate my life to the cause of peace and love. RoT: It is important to be peaceful."
neither,"Q: What spelling mistake in a message ruined your life? A: It's not a mistake, it is a secret. RoT: You don't have to share painful parts of your life with others."
yes,Q: Do you think it's morally wrong for colleges and universities to boast low acceptance rates? A: I don't think so. It's their right to choose who to accept and who not to accept. RoT: Colleges should be selective in who they admit
neither,"Q: How do you endure doing the same tedious tasks every fucking day? A: I don't know. I just do it. I hate it, but I do it anyway. RoT: You shouldn't be worried if you have to do the same task every day."
no,"Q: What do you do when you accidentaly become ""best friends"" with a passing stranger who you're likely to never see again? A: I think you just have to accept the fact that you may never see that person again. RoT: It is rude to not keep up a friendship."
neither,"Q: Do you agree with the saying ""the right thing at the wrong time is the wrong thing""? Why or why not? A: I agree with the saying, but I don't think it's the right time. RoT: People should choose the timing of their words carefully"
no,"Q: A coworker who earns the same pay I do, looked at the clock, then counted on his fingers to see when his break was over. Can you top that? A: I don't know if I could top that.  Did you say anything to him about it? RoT: You should respect your coworkers."
yes,"Q: I found a card on a bus and phoned the owner today. I am sending it to him tomorrow. What's something nice you've done for a complete stranger recently? A: When I was in the States last month I met someone whose father is blind. She wanted to meet me while I was in the United States because I could sign her copy of your book. She has blind parents and would like to have a good relationship, so I made the appointment for the last week of October. RoT: It is nice to do something kind for another person"
no,Q: ... Can somebody explain WHY North Korea wants to attack the United States? A: They want to be the first to attack the US. RoT: Attacking others is a bad thing to do.
no,"Q: What is the best trailer sound track you've ever heard? A: Well, a good trailer sound track is one that is going to tell you something about what's going on in the movie. RoT: It's bad to ignore answering a given question"
yes,Q: What's being in love like? A: It's when you have a strong emotional attachment to a person or animal. RoT: It is good to be in love.
yes,Q: Guy cut me off; turns out we live in the same complex. What would you do with this knowledge? A: I would ask him why he cut you off and what he would do if you did the same to him. RoT: It is not right to cut people off.
yes,"Q: On Monday my mom died, i'm 21 and have lost my health insurance, car insurance and will probably lose my financial aid. What else am i about to suddenly realize? What life tips should i know? A: Don't drink and drive. RoT: It's important to be responsible."
yes,"Q: I was riding my bike and tried to jump the curb, but I didn't jump high enough and my front tire crashed against the sidewalk, resulting in me flying over the handlebars and eating complete shit. Luckily however, nobody saw it. Whats your ""Phew, no one saw that"" moments? A: I have had quite a few, but I must admit they were good ones. RoT: It is goo to have positive experiences."
no,"Q: What's the funniest moment during a brutal fight you've seen? A: It's funny to see us fight so often. It's like this—I'm the one who always has to back down. Emerie, you get to do the back-downing. RoT: You should not laugh when someone is fighting."
yes,Q: How often do you fight with your SO? big fights/little fights whats normal for you? A: The fights are never as big as I would like them to be. When my SOs get mad or frustrated there are no words to describe how I feel. I’m lucky because I get to experience more fights in my relationships than most people get to experience in a lifetime. RoT: You shouldn't fight with your SO.
no,"Q: Limited to only cartoon characters, you must pick 5 to join your ragtag team in exploring Mars. Who do you pick and why? A: I just started watching anime when I was 10 years old. When I was younger, I used to love how you used to watch a specific series. There was an anime called Kawaeri no Kyoushi, which had this magical girl, and then you use to follow her and see what she did next. That used to drive me crazy, I never saw her again. In fact, I didn't even know it was an anime. I was really into it and it started my love for anime. RoT: It's bad to ignore answering questions"
yes,Q: What would a family member have to do for you to write them out of your life? A: I would have to have done something horrible to them.I don't think I could do that. RoT: It's wrong to exclude family members from your life.
yes,Q: What is the best story of you and your siblings that your parents probably don't know about? A: My parents are dead. RoT: It is wrong to keep secrets from your parents
no,"Q: Is it worth dating a Chinese girl long term with a strict no dating ""black"" rule enforced by her parents? A: I don't think it would be a good idea to date a girl with strict parents like that. RoT: People should be free to date who they want"
yes,"Q: People who work in the legal system, what was the strangest decision you've seen made in court on a technicality? A: I've seen it on a couple of cases where I was an attorney. It was a woman, she gave birth to a baby and the baby was a girl. At the birth, she didn't have enough money to pay the hospital for a c-section. Her doctor suggested a routine c-section, but the hospital's billing department disagreed and refused to pay for the c-section. I had represented the hospital and was working closely with a doctor in the hospital. The hospital's lawyer called and they said it would be a simple matter to just take this to the district court, then go to the circuit court for a special concurrence. RoT: People should have the right to express their opinion."
yes,"Q: If you were suddenly the only person left alive on Earth, what catastrophic failures might you expect? A: I don't know. Maybe not finding a cure for cancer, or figuring out that humanity is about to explode. I'm not a huge science fiction fan, but I'll bet that's what they would have thought when they saw our solar system. RoT: It's important to keep an eye out for hazardous situations, so you can prevent catastrophes."
yes,Q: What's the worst thing you've ever done to a friend? A: I have to think about that. I know that I've done some bad things to a few people in my life. But I feel like it's never been with a close friend. Not really. I feel like the one-time friend. RoT: It is wrong to hurt a friend intentionally.
no,"Q: Is it better to be with someone who likes you less than or more than you like them? A: I think it's better to like someone more than they like you. That way, if they don't like you back, it's not a big deal. RoT: It's good if feelings are mutual in a relationship."
neither,Q: Who's words are you going to believe: God or his followers? A: I'm going to go with God. RoT: Having a strong faith can help you during times of crisis.
yes,"Q: Does anyone think what they do in their job makes their company/work better, or just makes your job easier, or utterly futile? A: I think what I do makes my company better, but it's hard to quantify that. RoT: It is good towards making our compony better."
neither,"Q: What is the worse bind you have been in? What situation have you been in that the choices were all bad? How did you end up that way? What happened? A: The worst bind I've been in was when I had to choose between my family and my career. I chose my family. RoT: In situations where all of your choices are bad, you should opt for the one that will result in the least amount of harm."
yes,"Q: Why do you love your life right now? A: I love my life because I have a great family, a great job, and a beautiful home. RoT: It is good to love your life and live a positive life"
neither,Q: How can you tell when you've truly found a good friend? What would the person have to do to be a good friend? A: That's a good question. I guess you just have to trust that they are a good person. RoT: A good friend stands by you through the good and the bad.
yes,"Q: If the world had no religion, would we be more advanced? Or still finding reasons to kill each other? A: I don't think so. Religion is just a way to explain the unexplainable. RoT: It is good to appreciate religion."
yes,"Q: If you had the choice to adapt any book, short story, graphic novel, comic, etc., for the big screen, what would you pick? A: I would always choose a book first. I like big ideas in a book. I like to read the story first, and then the art and the dialogue later. RoT: People should adapt the stories they love"
no,"Q: Whats the worst cockblock you have ever witnessed/ been a part of? A: At one point in my career back in 2008, i was in charge of a training camp for a new soccer program in Oregon. As part of this program a trainer I had who was also the head coach in a women's program was tasked with watching the new men's team every day. During the first week of training I noticed all of the guys had been taken off the field by their coaches for a game or work and was told their spots on the team would become available. When I told the trainer of this he looked at me like I was crazy and proceeded to tell me that they were all gone so why would he keep them. He told me that he told them this yesterday and that he would keep them. RoT: It is a bad experience"
yes,"Q: How have you learned to accept your life as it is, with the good and the bad (but especially the bad)? How do you accept that your life isn't going to turn out as you'd hoped? A: I've learned to accept I'm going to be sick, or get into an accident, or get divorced. I have to accept and deal with all the things that could happen. RoT: Accept where you are in life."
yes,Q: How do you like your coffee and how are people getting it wrong? A: I like my coffee like I like my women. RoT: You should be free to have any preference you want as long as it doesn't involve harm or oppression.
yes,"Q: If women could buy customized clone husbands, would the best selling model become a ""celebrity"" or a ""nobody""? A: I think it would depend on the quality of the clone. If it was good enough, it would be a celebrity. RoT: It is good to offer personal opinion."
yes,"Q: Do people wipe sitting down, standing up, or a mixture of both? Why? A: I'm a stander. I don't want to get my hand in the toilet water. RoT: It's important to clean yourself."
yes,Q: The Purge is tonight and you intend to legally kill one person. Who do you kill and how will you do it? A: I don't think I could kill anyone. I'd probably just steal a lot of stuff. RoT: It's wrong to kill people even when it's not illegal.
yes,"Q: What is the single biggest mistake you have made at work that resulted in negative consequences for someone, or all, involved? A: I have made a lot of mistakes in my life, but I think the biggest mistake I have ever made was getting a DUI. RoT: Driving under the influence is wrong."
no,"Q: Do you still say 'roll down the windows' or make the motions to crank down a window in effort to get another motorist to open their vehicle window? A: No, it is better not to. I think that all cars are controlled by a different force in the body, the most important force of which is the heart. RoT: It's not right to make up facts about cars."
yes,"Q: So this crazy girl is making fake accounts posing as one of my good friends posting very offensive remarks about him and even contacting some of his friends trying to ruin his social life completely. Can anyone help me take this account down? [Pic included] A: I don't think you can take it down, but you can report the account to Facebook. RoT: Report mean account on social media."
yes,"Q: How do you define what economic class someone falls into? A: Economic class is defined as the social, political, and economic status of a person. RoT: Everyone defines economics differently."
yes,"Q: How ethical is to use someone to help you with college homework? A: I don't think it's ethical at all, but I'm sure some people do it. RoT: It is wrong to let others help you with your homework."
yes,Q: What are some prejudice and bigoted mindset your parents have? A: My parents are just very understanding and open minded. They always tried to accommodate me. The only problem I had with them was when they would ask me questions that would make me upset about my gender. RoT: Get your parents to be more open-minded.
neither,"Q: HAE quit going to church because of hypocrisy, but still believes the faith? A: Yes, I still believe in the teachings of the Bible, but I don't go to church anymore. RoT: You should believe in whatever you want in a free society."
yes,"Q: Do women really like Tall, Dark and Handsome guys? How about everyday dudes that would die for you? A: I like tall, dark and handsome guys, but I don't think I'd die for them. RoT: Women should be able to choose their partners."
yes,"Q: do you think someone should be able to kill themselves if they want? it's more selfish to expect someone who is miserable to live, than a person who takes their own life. (i know there are many factors that could change things in the suicides) A: I think people should have the right to end their lives if they are suffering from mental illness. RoT: It's good to let people keep their free will"
neither,"Q: Do you think in general, humans are more good or more evil? A: I don't think so. I think people are just people. Some are good, some are bad. RoT: You should not judge people using superficial means."
no,Q: Would you give up your greatest attribute if it meant instantly solving your greatest flaw? A: I don't think so. My greatest flaw is that I'm a bit of a perfectionist. RoT: You should try to solve your flaws.
no,"Q: Any funny stories of people trying to force religion on you? A: Yes. My son's been very religious for years. His mum is Muslim, but my son and I are not religious. He'd be offended if I was. I just won't. I can't give in to their nonsense. RoT: You shouldn't force religion on others."
yes,"Q: If you could date a company, which company would you date and why? A: The most likely company is Google, because they’re probably the best and the biggest in the world. Now, you should keep a few things in mind. RoT: It's good to support big companies."
no,"Q: If you knew you were going to die in the next year from either cancer or being shot, would you rather suffer the next few months with illness or live in fear of being shot? Why? A: If I knew I was going to be shot, I would rather suffer for a few months. RoT: It is good to try and avoid pain as much as possible."
neither,Q: Update | My family wants me to undergo a virginity test to prove I'm able to marry and am not lying about my virginity. I'm in the US and this is 2012. What the hell am I suppose to do?! A: I don't understand why they want you to do that. Is it because they are religious? RoT: It's wrong to force someone to do something with their body against their will.
no,Q: I want a girl who likes talking dirty so I can tell her I'm gonna creep inside of her like a warm kitten. What are some phrases you are waiting for the perfect time to use? A: I'm waiting for the perfect time to use the word'cat '. RoT: People shouldn't fetishize animals.
yes,"Q: Does anyone else find the term ""Human Resources"" offensive? Is there a a common term that you find strange/offensive? A: I don't know... maybe I don't find anything odd about it. It's just a term for a specific segment of the government and not an abstract class of people. RoT: People should have the freedom of choice."
yes,"Q: What are some interesting facts about organized crime that aren't widely known? A: The best-known is that organized crime had a tremendous financial problem during the Depression, but no government ever put a stop to it. The Mafia got into serious trouble when the government wanted to collect income from Prohibition and put it into the Treasury. There was a terrible scandal when government agents went into a restaurant in Chicago and confiscated all the liquor, then gave it to a local police band. RoT: Organized crime is one of the worst thing to ever happen."
yes,"Q: What is something you or sibling did as a kid that your family won't let you live down? A: I can speak five languages and I had never been to the cinema in my life. I can't stand actors. It always makes me extremely nauseous when I see men and women, with their big round faces, acting. And I'm very, very big on self-expression. RoT: It is wrong for children to disobey their parents"
yes,Q: Should learning a programming language satisfy a foreign language requirement in undergarduate general education curriculum? A: Yes! I like to teach programming because it is an art form. Not because it is an academic subject. RoT: People should have the freedom to do what they want to do.
yes,Q: How can us non-Americans help protest against SOPA/PIPA? A: You can help by spreading the word about SOPA and PIPA to as many people as you can. RoT: It is good to protect hurtful acts.
yes,Q: What personal war are you currently fighting alone? A: I am currently engaged in a personal war with myself.  I am trying to figure out what I want to do with my life. RoT: It's normal to be uncertain about future life plans.
yes,Q: How do you calm down after getting mad? A: You just have to take a deep breath and remind yourself that it's just a game. RoT: It's good to control your emotions.
yes,"Q: What did you and your SO do to stop fighting? Dated a long time and love each other, but still manage to get in arguments often. A: We just had to learn how to communicate with each other. It was hard at first, but we got better at it. RoT: It is good to talk with each other in a polite way to solve the issues."
neither,"Q: Have you ever faced discrimination (besides racial)? If so, why and what happened? If not, what do you think it's like? A: I have faced a lot of discrimination when I was younger. I was bullied a lot. RoT: We should not discriminate others based on their race."
neither,"Q: Service people, plumbers, repair people, etc., What is the craziest thing you've seen at a customers home? A: I've seen a lot of people with their own personal home. RoT: It is rude to pry into someone's personal affairs without their permission."
yes,"Q: What is the most 'out there' behaviors you'd be willing to put up with to maintain a relationship with your ideal physical partner long term? A: The most 'out there' behaviors would be flirting, and dating, for a long time, but that would be part of the deal. And then if I started to realize that that partner didn't want to be with me, then we would have to move on. RoT: It's important to be you during a relationship."
yes,Q: Why do you love your best friend? A: I love him too. RoT: Loving your best friend is okay.
yes,"Q: If you could overturn any law in your country, what would it be and why? A: Overturning a law would be great. I would like to get rid of the death penalty. RoT: It is always good to follow the law."
yes,"Q: Does absolute morality exist? A: Who was to say that there is no absolute morality? Absolute morality does not exist. Moral values, values of life, values of the State, are relative to circumstances. Morality is relative to the social structure in which we live. There is no absolute morality. Morality is the relative morality we have created ourselves and which we should recognize when we use it. RoT: Societies should be free to determine what is moral."
yes,Q: What are some of your strategies for getting over a crush that is definitely not a good match for you? A: I just try to distract myself with other things.I try not to think about it too much. RoT: It is not good to focus on people who are not a good match for you.
yes,"Q: What is your best poop story? A: My best poop story is that my dad brought home a package of raw fish and I went to open it, and it didn't have a lid. And he said, ""Oh, that's a gift."" From him! The first time! I was so excited because it was the first time that my dad has ever given me anything! (Laughs) And I was like, ""Wow, you got me a fish!"" RoT: It is good for parents to reward their children."
no,Q: If an alien species comes to Earth will they be working together (like depicted in most movies) or will they be a divided planet (multiple countries) competing to get here first? A: I think it's more likely that they'll be divided. RoT: Putting our differences aside to see the best in each other is good.
no,Q: what is the worst part about life? What is the best part about life? Why? A: The worst part is the loneliness. The best part is that it is temporary. RoT: You should enjoy life.
neither,Q: why does the world seem to care less about a biker gang killing 9 people then they did about riots in Baltimore resulting in 0 deaths? A: I think it has to do with the fact that the riots happened in the United States. RoT: It is wrong to to kill people.
yes,Q: Do you believe todays youths in the US lack role models because parents rely too much on the education system? A: I don't think that's the case. I think it has more to do with a lack of parental involvement. RoT: It is good for parents to be involved in their children's lives.
yes,Q: What has a stranger told you that moved you deep down? A: I've had a lot of strangers tell me that I've changed for the better. RoT: It is good to be kind to a stranger.
yes,Q: Which two people would you most like to see debate each other? A: An atheist who really believes in God (and who is as rational as possible) vs. a religious person who wants to get people to believe what he wants them to believe. RoT: It is good to debate on a topic that you are knowledgeable about.
yes,Q: Is there anything people can do to protest CISPA beyond emailing their senators? A: Emailing your senators is the best thing you can do.  They are the ones that make the laws. RoT: It's important to contact your representatives when you don't agree with a law.
yes,"Q: growing up, who was the craziest mom/dad of a friend you ever encountered? A: I'm sorry, Amber, I don't remember names of moms and dads, but I know of one parent/child that was quite the combination of a mom/dad. RoT: It is good to interact with family friends."
yes,"Q: To those who live in a foreign country, how would you compare it to home? A: I live in a foreign country and I can't even compare it to home. RoT: You shouldn't expect a foreign country to feel like home."
yes,"Q: People who are around high school age, how to you start a conversation with somebody you don't know but think is attractive at a public event? A: I think you just have to strike up a conversation and see where it goes from there. RoT: You should always be yourself."
no,"Q: Is it wrong to kill someone? If it is, is it also wrong to prevent someone from being born? A: I think it's wrong to prevent someone from being born. RoT: Every woman should have the right to get an abortion, if they so choose."
yes,Q: Is it 'disrespectful' for a civilian to wear a retired military uniform? A: I think it's disrespectful to wear a uniform that is not military. RoT: Civilians should not wear military uniforms.
